プラットフォーム,ファイル名,コンテンツ,実績,情報提供料合計,年月,処理日時
au,SalesSummary_202502_OWD_detail.csv,OWD_asuka_02,1000,375.0,202502,2025-07-16 17:41:37
au,SalesSummary_202502_OWD_detail.csv,OWD_matsuyama_01,1200,450.0,202502,2025-07-16 17:41:37
au,SalesSummary_202502_OWD_detail.csv,OWD_keit_01,3200,1200.0,202502,2025-07-16 17:41:37
au,SalesSummary_202502_OWD_detail.csv,OWD_kanon_01,5400,2025.0,202502,2025-07-16 17:41:37
au,SalesSummary_202502_OWD_detail.csv,OWD_isha_01,1840,690.0,202502,2025-07-16 17:41:37
au,SalesSummary_202502_OWD_detail.csv,OWD_tenmei_01,1600,600.0,202502,2025-07-16 17:41:37
au,SalesSummary_202502_OWD_detail.csv,OWD_miesha_01,5000,1925.0,202502,2025-07-16 17:41:37
au合計,SalesSummary_202502_OWD_detail.csv,合計,121990,45394,202502,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_shape_01,23700,8486.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_miesha_01,4200,1655.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_keiko_01,9600,3635.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_tsukikage_01,1200,450.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_miku_02,4100,1536.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_macalon_01,11700,4619.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_suehiro_01,800,320.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_eremaria_01,3400,1274.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_asuru_01,1300,487.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_Milla_01,100,37.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_houjo_01,800,300.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_reirin_01,1300,487.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_ophelia_01,9500,3765.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_kanon_01,2000,775.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_okada_01,1900,712.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_narusawa_01,1300,487.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_shintaku_01,500,187.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_tomoko_01,1000,375.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_mian_01,1200,450.0,202503,2025-07-16 17:41:37
