番組ID,実績,CP売上負担額合計,情報提供料合計,ファイル名
OWD_shape_01,23700,994,8486.0,SalesSummary_202503_OWD_detail.csv
OWD_shintaku_01,500,13,187.0,SalesSummary_202503_OWD_detail.csv
OWD_suehiro_01,800,0,320.0,SalesSummary_202503_OWD_detail.csv
OWD_tomoko_01,1000,25,375.0,SalesSummary_202503_OWD_detail.csv
OWD_tsukikage_01,1200,30,450.0,SalesSummary_202503_OWD_detail.csv
OWD_Milla_01,4800,121,1799.0,SalesSummary_202504_OWD_detail.csv
OWD_aokitomo_01,2400,60,900.0,SalesSummary_202504_OWD_detail.csv
OWD_aron_01,1200,0,480.0,SalesSummary_202504_OWD_detail.csv
OWD_asuru_01,3400,55,1305.0,SalesSummary_202504_OWD_detail.csv
OWD_chazz_01,3500,88,1312.0,SalesSummary_202504_OWD_detail.csv
OWD_chiki_01,4950,126,1854.0,SalesSummary_202504_OWD_detail.csv
OWD_fujita_01,1200,30,450.0,SalesSummary_202504_OWD_detail.csv
OWD_gyokusenhi_01,2300,58,862.0,SalesSummary_202504_OWD_detail.csv
OWD_hoshikaze_01,6000,151,2249.0,SalesSummary_202504_OWD_detail.csv
OWD_isha_01,2300,58,862.0,SalesSummary_202504_OWD_detail.csv
OWD_kanon_01,3500,63,1337.0,SalesSummary_202504_OWD_detail.csv
OWD_keiko_03,3900,66,1494.0,SalesSummary_202504_OWD_detail.csv
OWD_keiko_04,2200,35,845.0,SalesSummary_202504_OWD_detail.csv
OWD_koyanagi_01,5000,125,1875.0,SalesSummary_202504_OWD_detail.csv
OWD_macalon_01,8300,97,3223.0,SalesSummary_202504_OWD_detail.csv
OWD_matsuyama_01,1900,33,727.0,SalesSummary_202504_OWD_detail.csv
OWD_miku_02,900,23,337.0,SalesSummary_202504_OWD_detail.csv
OWD_mimoe_01,3000,75,1125.0,SalesSummary_202504_OWD_detail.csv
OWD_mokuren_01,1500,38,562.0,SalesSummary_202504_OWD_detail.csv
OWD_niutouko_01,8300,178,3142.0,SalesSummary_202504_OWD_detail.csv
OWD_ophelia_01,1000,13,387.0,SalesSummary_202504_OWD_detail.csv
OWD_reirin_01,2400,60,900.0,SalesSummary_202504_OWD_detail.csv
OWD_rumikoi_01,3200,50,1230.0,SalesSummary_202504_OWD_detail.csv
OWD_shape_01,27600,792,10248.0,SalesSummary_202504_OWD_detail.csv
OWD_shintaku_01,1300,33,487.0,SalesSummary_202504_OWD_detail.csv
OWD_sugano_02,1700,43,637.0,SalesSummary_202504_OWD_detail.csv
OWD_tachibana_01,600,15,225.0,SalesSummary_202504_OWD_detail.csv
OWD_tomoko_01,1200,0,480.0,SalesSummary_202504_OWD_detail.csv
OWD_tsukikage_01,8100,93,3147.0,SalesSummary_202504_OWD_detail.csv
OWD_yuki_01,3600,60,1380.0,SalesSummary_202504_OWD_detail.csv
OWD_Milla_01,2900,73,1087.0,SalesSummary_202505_OWD_detail.csv
OWD_asuru_01,8300,208,3112.0,SalesSummary_202505_OWD_detail.csv
OWD_daiyang_01,1200,30,450.0,SalesSummary_202505_OWD_detail.csv
OWD_fujita_01,4200,105,1575.0,SalesSummary_202505_OWD_detail.csv
OWD_gyokusenhi_01,2300,33,887.0,SalesSummary_202505_OWD_detail.csv
OWD_houjo_01,1000,25,375.0,SalesSummary_202505_OWD_detail.csv
OWD_ikai_01,3000,75,1125.0,SalesSummary_202505_OWD_detail.csv
OWD_isha_01,2600,66,974.0,SalesSummary_202505_OWD_detail.csv
OWD_kanon_01,1800,45,675.0,SalesSummary_202505_OWD_detail.csv
OWD_kasya_01,1300,33,487.0,SalesSummary_202505_OWD_detail.csv
OWD_keiko_01,9400,237,3523.0,SalesSummary_202505_OWD_detail.csv
OWD_keiko_03,4100,71,1569.0,SalesSummary_202505_OWD_detail.csv
OWD_keiko_04,3500,78,1322.0,SalesSummary_202505_OWD_detail.csv
OWD_klara_01,2000,39,761.0,SalesSummary_202505_OWD_detail.csv
OWD_koike_01,1300,33,487.0,SalesSummary_202505_OWD_detail.csv
OWD_koyanagi_01,5200,100,1980.0,SalesSummary_202505_OWD_detail.csv
OWD_macalon_01,7300,143,2777.0,SalesSummary_202505_OWD_detail.csv
OWD_matsuyama_01,1300,33,487.0,SalesSummary_202505_OWD_detail.csv
OWD_mermaid_01,5600,141,2099.0,SalesSummary_202505_OWD_detail.csv
OWD_mian_01,1000,0,400.0,SalesSummary_202505_OWD_detail.csv
OWD_mokuren_01,1500,0,600.0,SalesSummary_202505_OWD_detail.csv
OWD_narusawa_01,2500,63,937.0,SalesSummary_202505_OWD_detail.csv
OWD_ophelia_01,2800,13,1107.0,SalesSummary_202505_OWD_detail.csv
OWD_reirin_01,3600,65,1375.0,SalesSummary_202505_OWD_detail.csv
OWD_shape_01,37100,1415,13425.0,SalesSummary_202505_OWD_detail.csv
OWD_shintaku_01,4000,75,1525.0,SalesSummary_202505_OWD_detail.csv
OWD_shokita_01,500,0,200.0,SalesSummary_202505_OWD_detail.csv
OWD_sugano_02,1700,43,637.0,SalesSummary_202505_OWD_detail.csv
OWD_tachibana_01,600,15,225.0,SalesSummary_202505_OWD_detail.csv
OWD_tshourei_01,5700,60,2220.0,SalesSummary_202505_OWD_detail.csv
OWD_tsukikage_01,1000,25,375.0,SalesSummary_202505_OWD_detail.csv
OWD_yamasakirie_01,1000,25,375.0,SalesSummary_202505_OWD_detail.csv
OWD_ychigumi_01,1200,30,450.0,SalesSummary_202505_OWD_detail.csv
OWD_aron_01,4900,93,1867.0,SalesSummary_202506_OWD_detail.csv
OWD_chazz_01,2600,66,974.0,SalesSummary_202506_OWD_detail.csv
OWD_eremaria_01,2800,70,1050.0,SalesSummary_202506_OWD_detail.csv
OWD_fujita_01,2000,50,750.0,SalesSummary_202506_OWD_detail.csv
OWD_gyokusenhi_01,1000,25,375.0,SalesSummary_202506_OWD_detail.csv
OWD_hakuryu_01,800,0,320.0,SalesSummary_202506_OWD_detail.csv
OWD_ikai_01,4400,78,1682.0,SalesSummary_202506_OWD_detail.csv
OWD_isha_01,1200,30,450.0,SalesSummary_202506_OWD_detail.csv
OWD_keiko_01,11700,295,4385.0,SalesSummary_202506_OWD_detail.csv
OWD_keiko_02,1000,0,400.0,SalesSummary_202506_OWD_detail.csv
OWD_keiko_03,6100,153,2287.0,SalesSummary_202506_OWD_detail.csv
OWD_keiko_04,1800,45,675.0,SalesSummary_202506_OWD_detail.csv
