コンテンツ名,実績,情報提供料
amano,0,0
aoki,0,0
chamen,0,0
chamereon,0,0
epc,0,0
kmo2,0,0
luna,93961,34453
matsuyama,0,0
mermaid,0,0
miyoko,4525,1659
miyokof,0,0
mlo,1889,692
ophelia,11792,4323
rainen,0,0
reiwaseimei,0,0
rie,0,0
shape,10561,3872
shintaku,1800,660
shokita,55192,20237
takashima,0,0
