売上年月,aigaのその月の売上合計,aigaの累計売上,aokiのその月の売上合計,aokiの累計売上,aquaのその月の売上合計,aquaの累計売上,aronのその月の売上合計,aronの累計売上,chigumiのその月の売上合計,chigumiの累計売上,chiharuのその月の売上合計,chiharuの累計売上,enseiのその月の売上合計,enseiの累計売上,fujitaのその月の売上合計,fujitaの累計売上,gyokuのその月の売上合計,gyokuの累計売上,hakuryuのその月の売上合計,hakuryuの累計売上,hayukiのその月の売上合計,hayukiの累計売上,ikaiのその月の売上合計,ikaiの累計売上,joseのその月の売上合計,joseの累計売上,kairiのその月の売上合計,kairiの累計売上,kasyaのその月の売上合計,kasyaの累計売上,keitのその月の売上合計,keitの累計売上,kimyakuのその月の売上合計,kimyakuの累計売上,kireiのその月の売上合計,kireiの累計売上,klaraのその月の売上合計,klaraの累計売上,koyanagiのその月の売上合計,koyanagiの累計売上,lumikoのその月の売上合計,lumikoの累計売上,marilのその月の売上合計,marilの累計売上,matsuyama-kaironのその月の売上合計,matsuyama-kaironの累計売上,merisaのその月の売上合計,merisaの累計売上,mieshaのその月の売上合計,mieshaの累計売上,mikomariaのその月の売上合計,mikomariaの累計売上,mikuのその月の売上合計,mikuの累計売上,miyoko-syufuのその月の売上合計,miyoko-syufuの累計売上,miyoko-tirolのその月の売上合計,miyoko-tirolの累計売上,narusawaのその月の売上合計,narusawaの累計売上,niuのその月の売上合計,niuの累計売上,nodaのその月の売上合計,nodaの累計売上,okacのその月の売上合計,okacの累計売上,opheliaのその月の売上合計,opheliaの累計売上,reirinのその月の売上合計,reirinの累計売上,renriのその月の売上合計,renriの累計売上,rieのその月の売上合計,rieの累計売上,risuiのその月の売上合計,risuiの累計売上,shokitaのその月の売上合計,shokitaの累計売上,suganoのその月の売上合計,suganoの累計売上,syukiのその月の売上合計,syukiの累計売上,tnoelのその月の売上合計,tnoelの累計売上,tomokoのその月の売上合計,tomokoの累計売上,tsukikageのその月の売上合計,tsukikageの累計売上,yukiのその月の売上合計,yukiの累計売上,yuki-osajimaのその月の売上合計,yuki-osajimaの累計売上,あするのその月の売上合計,あするの累計売上,イエティのその月の売上合計,イエティの累計売上,カイロンのその月の売上合計,カイロンの累計売上,ハーメアのその月の売上合計,ハーメアの累計売上,ビジョナリーのその月の売上合計,ビジョナリーの累計売上,レッスンのその月の売上合計,レッスンの累計売上,大熊のその月の売上合計,大熊の累計売上,有泉恵子のその月の売上合計,有泉恵子の累計売上,本塚のその月の売上合計,本塚の累計売上
202412,308.2,308.2,868.6,868.6,150.6,150.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.3,925.3,0.0,0.0,0.0,0.0,0.0,0.0
202507,376.1,684.3,680.3,1548.9,1.8,152.4,3.3,3.3,0.0,0.0,0.9,0.9,111.9,111.9,165.8,165.8,0.0,0.0,280.3,280.3,44.0,44.0,248.6,248.6,67.7,67.7,173.5,173.5,144.0,144.0,62.2,62.2,0,0,193.3,193.3,0,0,56.7,56.7,61.1,61.1,25.9,25.9,10.6,10.6,24.0,24.0,131.4,131.4,10.0,10.0,223.3,223.3,1899.7,1899.7,1899.7,1899.7,40.7,40.7,209.2,209.2,0.9,0.9,161.5,161.5,425.2,425.2,327.7,327.7,0,0,0.0,0.0,0,0,33.6,33.6,75.4,75.4,216.6,216.6,69.0,69.0,63.6,63.6,157.6,157.6,16.6,16.6,11.1,11.1,121.7,121.7,170.8,170.8,175.79999999999998,175.79999999999998,2278.6000000000004,2278.6000000000004,10517.0,10517.0,407.0,1332.3,190.1,190.1,4290.7,4290.7,462.2,462.2
202508,72.3,756.5999999999999,102.2,1651.1000000000001,40.8,193.2,108.5,111.8,35.4,35.4,75.8,76.7,145.9,257.8,171.1,336.9,191.6,191.6,122.4,402.70000000000005,1.3,45.3,63.0,311.6,3.4,71.10000000000001,0.7,174.2,372.9,516.9,112.9,175.10000000000002,0,0,0.0,193.3,0,0,205.8,262.5,293.6,354.70000000000005,102.7,128.6,62.4,73.0,0.0,24.0,22.4,153.8,58.5,68.5,93.3,316.6,1695.2,3594.9,1695.2,3594.9,182.6,223.3,231.0,440.2,0.0,0.9,0.9,162.4,455.4,880.5999999999999,77.8,405.5,0,0,72.8,72.8,0,0,210.3,243.9,299.4,374.79999999999995,0.7,217.29999999999998,32.2,101.2,249.3,312.90000000000003,241.4,399.0,218.4,235.0,145.6,156.7,103.4,225.10000000000002,213.0,383.8,432.4,608.1999999999999,2112.0,4390.6,7728.0,7728.0,926.3,2258.6,113.7,303.8,3178.6,7469.299999999999,328.2,790.4
